"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.353456037E0,7.913513184E-1,2.393920898E0,9.267181396E0
2.365540998E0,8.009338379E-1,2.408294678E0,9.243240356E0
2.377625959E0,7.698059082E-1,2.367584229E0,9.224090576E0
2.389710920E0,7.362823486E-1,2.377166748E0,9.228866577E0
2.401826398E0,6.836090088E-1,2.377166748E0,9.252822876E0
2.413911359E0,6.979827881E-1,2.389129639E0,9.377319336E0
2.425996320E0,7.410736084E-1,2.408294678E0,9.511383057E0
2.438081281E0,7.841644287E-1,2.389129639E0,9.602371216E0
2.450166242E0,8.033294678E-1,2.358016968E0,9.566452026E0
2.462251203E0,7.961425781E-1,2.334060669E0,9.463500977E0
2.474336164E0,7.674102783E-1,2.300552368E0,9.358154297E0
2.486451643E0,7.267150879E-1,2.281402588E0,9.312667847E0
2.498536604E0,7.003784180E-1,2.247879028E0,9.341400146E0
2.510621564E0,7.027587891E-1,2.243087769E0,9.394073486E0
2.522706525E0,7.267150879E-1,2.267028809E0,9.437164307E0
2.534791486E0,7.219238281E-1,2.262237549E0,9.461105347E0
2.546876447E0,7.267150879E-1,2.250274658E0,9.408432007E0
2.558961408E0,7.290954590E-1,2.223937988E0,9.312667847E0
2.571076887E0,7.362823486E-1,2.192810059E0,9.207321167E0
2.583161848E0,7.410736084E-1,2.176055908E0,9.164230347E0
2.595246809E0,7.554321289E-1,2.168869019E0,9.209716797E0
2.607331770E0,7.769927979E-1,2.168869019E0,9.365341187E0
2.619416730E0,7.530517578E-1,2.164077759E0,9.643066406E0
2.631501691E0,7.075500488E-1,2.132949829E0,9.832214355E0
2.643586652E0,6.788177490E-1,2.123382568E0,9.791503906E0
2.655702131E0,6.979827881E-1,2.125778198E0,9.556884766E0
2.667787092E0,7.147369385E-1,2.142532349E0,9.391677856E0
2.679872053E0,7.147369385E-1,2.125778198E0,9.360549927E0
2.691957014E0,7.817687988E-1,2.128158569E0,9.212112427E0
2.704041975E0,8.823242188E-1,2.111404419E0,8.967910767E0
2.716126936E0,8.368377686E-1,2.061126709E0,9.140289307E0
2.728211897E0,7.147369385E-1,1.998886108E0,9.566452026E0
2.740327375E0,6.477050781E-1,1.958175659E0,9.762786865E0
2.752412336E0,6.836090088E-1,1.948608398E0,9.599975586E0
2.764497297E0,7.386779785E-1,1.989303589E0,9.372528076E0
2.776582258E0,7.841644287E-1,2.049163818E0,9.374923706E0
2.788667219E0,7.889556885E-1,2.099441528E0,9.566452026E0
2.800752180E0,7.243194580E-1,2.092254639E0,9.678985596E0
2.812837141E0,6.836090088E-1,2.065917969E0,9.609558105E0
2.824952619E0,6.812133789E-1,2.018035889E0,9.444351196E0
2.837037580E0,7.410736084E-1,1.979721069E0,9.346191406E0
2.849122541E0,7.961425781E-1,1.943817139E0,9.329437256E0
2.861207502E0,8.200836182E-1,1.888748169E0,9.348587036E0
2.873292463E0,8.009338379E-1,1.876770020E0,9.377319336E0
2.885377424E0,7.578277588E-1,1.848037720E0,9.453933716E0
2.897462385E0,7.195281982E-1,1.836074829E0,9.556884766E0
2.909577863E0,7.314910889E-1,1.833679199E0,9.638275146E0
2.921662824E0,7.626190186E-1,1.833679199E0,9.652648926E0
2.933747785E0,7.841644287E-1,1.833679199E0,9.609558105E0
2.945832746E0,8.152923584E-1,1.845657349E0,9.576034546E0
2.957917707E0,8.057098389E-1,1.845657349E0,9.520965576E0
2.970002668E0,7.817687988E-1,1.838470459E0,9.444351196E0
2.982087629E0,7.626190186E-1,1.848037720E0,9.382095337E0
2.994203107E0,7.554321289E-1,1.838470459E0,9.453933716E0
3.006288068E0,7.674102783E-1,1.836074829E0,9.537719727E0
3.018373029E0,7.793731689E-1,1.807342529E0,9.508987427E0
3.030457990E0,7.985382080E-1,1.785797119E0,9.413223267E0
3.042542951E0,7.985382080E-1,1.769042969E0,9.463500977E0
3.054627912E0,7.769927979E-1,1.759460449E0,9.499420166E0
3.066712873E0,7.530517578E-1,1.754669189E0,9.468292236E0
3.078828352E0,7.386779785E-1,1.764251709E0,9.437164307E0
3.090913313E0,7.314910889E-1,1.757064819E0,9.475479126E0
3.102998273E0,7.626190186E-1,1.764251709E0,9.590393066E0
3.115083234E0,7.961425781E-1,1.754669189E0,9.690948486E0
3.127168195E0,8.105010986E-1,1.725936890E0,9.695739746E0
3.139253156E0,7.889556885E-1,1.675659180E0,9.611938477E0
3.151338117E0,7.602233887E-1,1.666091919E0,9.535324097E0
3.163453596E0,7.290954590E-1,1.632568359E0,9.497024536E0
3.175538557E0,7.099456787E-1,1.611022949E0,9.485046387E0
3.187623518E0,7.362823486E-1,1.606231689E0,9.508987427E0
3.199708479E0,7.530517578E-1,1.620590210E0,9.595184326E0
3.211793439E0,7.578277588E-1,1.634963989E0,9.619125366E0
3.223878400E0,7.578277588E-1,1.594253540E0,9.501815796E0
3.235963361E0,7.314910889E-1,1.560745239E0,9.283935547E0
3.248078840E0,7.290954590E-1,1.503280640E0,9.228866577E0
3.260163801E0,7.482604980E-1,1.503280640E0,9.212112427E0
