"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.335256508E0,-1.930797100E-2,-9.173464775E-2,1.145482063E0
1.345327309E0,4.705823660E-1,-2.188595086E-1,1.042188644E0
1.355398110E0,9.720063210E-2,1.990700066E-1,-7.307338715E-1
1.365499428E0,-4.846565723E-1,2.183284909E-1,-2.014478683E0
1.375570229E0,-2.118114233E-1,1.813365817E-1,-8.646812439E-1
1.385641029E0,7.605886459E-2,1.321555525E-1,5.263547897E-1
1.395711830E0,7.012009621E-3,-6.880484521E-2,5.150852203E-1
1.405782631E0,1.516473293E-1,-2.353107780E-1,3.838233948E-1
1.415853432E0,2.178238630E-1,-1.811312139E-2,1.301679611E-1
1.425954750E0,-4.173314571E-2,3.672079742E-2,-1.597547531E-1
1.436025551E0,-1.705498695E-1,-2.725863457E-2,-8.204746246E-2
1.446096352E0,1.470649242E-2,3.523394465E-2,3.806514740E-1
1.456167153E0,9.677648544E-2,-3.418339789E-2,3.996171951E-1
1.466237953E0,2.491807938E-2,-6.642112136E-2,-2.118301392E-1
1.476308754E0,-5.105817318E-2,6.846487522E-3,-5.819797516E-1
1.486379555E0,-5.125629902E-2,1.496946812E-2,-3.620529175E-2
1.496480873E0,1.460325718E-2,-4.893763363E-2,5.387573242E-1
1.506551674E0,4.616689682E-2,-5.378054082E-2,2.940816879E-1
1.516622475E0,1.629650593E-2,-2.799789608E-2,-2.991886139E-1
1.526693276E0,-1.109039783E-2,-7.575124502E-3,-3.276729584E-1
1.536764076E0,1.818573475E-2,4.279658198E-3,1.993064880E-1
1.546834877E0,2.939605713E-2,2.041608095E-4,4.336509705E-1
1.556905678E0,5.476832390E-3,2.080847323E-2,5.386066437E-2
1.567006996E0,-3.876209259E-3,4.677644372E-2,-2.918100357E-1
1.577077797E0,3.076553345E-3,3.813679516E-2,-1.225605011E-1
1.587148598E0,1.366519928E-2,3.145264089E-2,1.761980057E-1
1.597219399E0,-9.215950966E-3,2.357618511E-2,1.604843140E-1
1.607290199E0,-2.107894421E-2,1.571545005E-2,-2.876663208E-2
1.617361000E0,-4.394173622E-3,-3.464356065E-3,-7.099533081E-2
1.627431801E0,2.714967728E-2,-1.093581319E-2,1.552200317E-2
1.637533119E0,1.543247700E-2,-9.372308850E-3,5.344676971E-2
1.647603920E0,-1.331305504E-2,-9.998232126E-3,6.744766235E-2
1.657674721E0,-7.692575455E-4,-9.211897850E-4,1.030702591E-1
1.667745522E0,1.662492752E-2,-1.486867666E-3,1.026830673E-1
1.677816322E0,1.398825645E-2,-7.073640823E-3,6.745338440E-3
1.687887123E0,6.574630737E-3,-3.086477518E-3,-5.278205872E-2
1.697957924E0,1.548612118E-2,1.836490631E-2,1.202201843E-2
1.708059242E0,4.265308380E-4,-3.252685070E-3,1.407756805E-1
1.718130043E0,1.441144943E-2,-1.089273393E-2,1.685857773E-1
1.728200844E0,4.629850388E-3,2.420052886E-2,6.165790558E-2
1.738271645E0,9.216547012E-3,9.544983506E-3,-5.517387390E-2
1.748342445E0,-5.561113358E-4,-4.706472158E-3,-9.671306610E-2
1.758413246E0,-1.455652714E-2,9.953781962E-3,-4.311370850E-2
1.768484047E0,-1.163673401E-2,-2.286532521E-2,7.162094116E-3
1.778585365E0,2.661585808E-3,2.325752378E-2,3.764629364E-2
1.788656166E0,1.200270653E-2,3.978465497E-2,-4.585838318E-2
1.798726967E0,2.480673790E-2,3.298619390E-2,-1.255788803E-1
1.808797768E0,6.386637688E-3,8.144512773E-3,-6.683826447E-2
1.818868569E0,6.055712700E-3,-1.664833724E-2,5.726051331E-2
1.828939369E0,1.072001457E-2,3.087893128E-3,9.626960754E-2
1.839010170E0,3.060793877E-2,-1.296132803E-2,5.434131622E-2
1.849111488E0,3.229796886E-2,-4.040898383E-2,6.765747070E-2
1.859182289E0,4.978823662E-2,-3.685858846E-2,6.190490723E-2
1.869253090E0,4.759705067E-2,-1.012971997E-2,1.105499268E-2
1.879323891E0,3.217303753E-2,-2.615109086E-3,-1.166343689E-3
1.889394692E0,-9.643077850E-3,-1.033866554E-1,2.230072021E-2
1.899465492E0,1.364684105E-2,-2.758210897E-2,-1.085338593E-1
1.909536293E0,1.757621765E-2,4.305218160E-2,-1.542882919E-1
1.919637611E0,-3.168690205E-2,-2.737766504E-2,4.693794250E-2
1.929708412E0,3.702867031E-2,1.663152874E-2,2.189941406E-1
1.939779213E0,5.900168419E-2,4.816286266E-2,1.179704666E-1
1.949850014E0,-7.929205894E-3,2.335414290E-3,-3.323078156E-2
1.959920815E0,-9.723186493E-3,-3.524850309E-2,2.456474304E-2
1.969991615E0,4.840958118E-2,-4.706549644E-2,7.620620728E-2
1.980092934E0,3.957438469E-2,-7.634764910E-2,3.276824951E-3
1.990163735E0,-2.048254013E-3,-5.608984828E-2,-3.272247314E-2
2.000234535E0,1.080465317E-2,-2.329602838E-3,2.927207947E-2
2.010305336E0,3.274953365E-2,1.091647148E-2,8.996391296E-2
2.020376137E0,3.962934017E-2,-1.643918455E-2,5.273818970E-3
2.030446938E0,3.244054317E-2,1.114709675E-2,-1.205644608E-1
2.040517738E0,5.450248718E-3,3.008124232E-2,-1.328134537E-1
2.050619057E0,-2.738666534E-2,-4.961237311E-2,4.676437378E-2
2.060689858E0,-2.234220505E-2,-1.009085625E-1,1.332683563E-1
2.070760658E0,-6.517171860E-3,-7.689516246E-2,1.256465912E-2
2.080831459E0,-1.153600216E-2,-6.290186942E-2,-1.344976425E-1
2.090902260E0,-8.390903473E-3,-5.647671223E-2,-1.581811905E-1
2.100973061E0,-1.082515717E-2,-4.561077058E-2,-2.064228058E-2
2.111043861E0,2.329385281E-2,-9.539201856E-3,8.592891693E-2
2.121145180E0,3.087544441E-2,-3.402724862E-3,1.149930954E-1
2.131215981E0,2.135682106E-2,1.409041882E-2,6.332778931E-2
2.141286781E0,1.399934292E-2,5.082562566E-3,1.279354095E-2
2.151357582E0,2.071356773E-2,2.684897184E-2,3.328323364E-3
2.161428383E0,3.224623203E-2,1.009681821E-2,1.280307770E-2
2.171499184E0,1.580619812E-2,-1.854757965E-2,3.152084351E-2
2.181569985E0,6.764054298E-3,-3.512836993E-2,-2.084159851E-2
2.191671303E0,-7.259726524E-3,-4.935088754E-2,3.624343872E-2
2.201742104E0,-2.129614353E-2,-8.248242736E-2,4.041481018E-2
2.211812904E0,-4.461801052E-2,-1.036075503E-1,2.330017090E-2
2.221883705E0,-3.196942806E-2,-1.080106497E-1,1.836776733E-3
2.231954506E0,-3.198003769E-2,-7.451888919E-2,4.396438599E-3
2.242025307E0,-2.055060863E-2,-1.788444817E-2,1.883316040E-2
2.252126625E0,-9.565949440E-3,5.455189943E-2,7.033348083E-3
2.262197426E0,-1.147985458E-3,9.075373411E-2,-1.170158386E-2
2.272268227E0,2.249479294E-3,7.469314337E-2,-4.190158844E-2
2.282339028E0,1.502180099E-2,5.170631409E-2,-7.640647888E-2
2.292409828E0,-9.044408798E-4,-2.279877663E-2,1.025295258E-2
2.302480629E0,-7.425785065E-3,-6.827288866E-2,5.542945862E-2
2.312551430E0,4.063844681E-4,-1.067898870E-1,5.727672577E-2
2.322652748E0,2.596902847E-2,-9.070599079E-2,3.290367126E-2
2.332723549E0,3.010964394E-2,-3.009328246E-2,3.967094421E-2
2.342794350E0,4.803085327E-2,2.249971032E-2,4.407691956E-2
2.352865151E0,5.315887928E-2,6.061068177E-2,6.500911713E-2
2.362935951E0,2.511572838E-2,3.663378954E-2,8.309555054E-2
2.373006752E0,-1.598155499E-2,-1.798540354E-2,5.123615265E-2
2.383077553E0,-2.087450027E-2,-5.120876431E-2,3.400802612E-3
2.393178871E0,-2.384388447E-2,-5.793023109E-2,-4.350471497E-2
2.403249672E0,1.097095013E-2,-7.356435061E-3,-3.284072876E-2
2.413320473E0,1.413965225E-2,3.785577416E-2,-1.288032532E-2
2.423391274E0,2.230823040E-2,7.127752900E-2,6.721496582E-3
2.433462074E0,2.294743061E-2,8.817890286E-2,2.119922638E-2
2.443532875E0,2.379894257E-2,9.385460615E-2,4.016399384E-2
2.453603676E0,-3.823518753E-3,7.164427638E-2,6.113529205E-2
2.463704994E0,-9.751915932E-3,5.744296312E-2,8.644485474E-2
2.473775795E0,-3.891587257E-3,5.801755190E-2,8.301162720E-2
2.483846596E0,-7.396936417E-3,5.635875463E-2,6.301498413E-2
2.493917397E0,1.094138622E-2,5.029994249E-2,3.614330292E-2
2.503988197E0,2.444326878E-2,5.389317870E-2,5.022048950E-3
2.514058998E0,-1.703500748E-4,5.271506310E-2,1.223468781E-2
2.524129799E0,-2.658581734E-2,5.639109015E-2,4.058933258E-2
2.534231117E0,-7.573723793E-3,9.819152951E-2,5.423927307E-2
2.544301918E0,4.120945930E-3,1.255415678E-1,5.112743378E-2
2.554372719E0,1.716256142E-3,1.508691609E-1,5.744647980E-2
2.564443520E0,-2.749800682E-3,1.386917233E-1,4.940509796E-2
2.574514320E0,-9.430766106E-3,9.650996327E-2,4.611396790E-2
2.584585121E0,-1.130664349E-2,6.743016839E-2,3.814888000E-2
2.594655922E0,1.322150230E-3,4.168552160E-2,4.447078705E-2
2.604757240E0,1.804471016E-3,1.667749882E-2,4.357147217E-2
2.614828041E0,-1.537799835E-5,2.530181408E-2,1.898479462E-2
2.624898842E0,-1.707196236E-3,3.199523687E-2,-7.555961609E-3
2.634969643E0,-3.629684448E-3,3.885856271E-2,-3.358840942E-2
2.645040444E0,-1.258540154E-2,3.457462788E-2,-5.680561066E-2
2.655111244E0,-2.159571648E-2,1.203954220E-2,-3.475856781E-2
2.665182045E0,-4.041242599E-2,-4.076185822E-2,1.535701752E-2
2.675283363E0,-4.258310795E-2,-2.677682042E-2,2.439689636E-2
2.685354164E0,-3.281116486E-2,8.127123117E-3,-4.230117798E-2
2.695424965E0,-1.419115067E-2,3.100797534E-2,-1.101465225E-1
2.705495766E0,3.438353539E-3,5.182951689E-2,-9.874153137E-2
2.715566567E0,-8.938312531E-4,7.071667910E-2,-5.206394196E-2
2.725637367E0,-7.638812065E-3,3.288933635E-2,-3.930759430E-2
2.735708168E0,-1.469326019E-2,7.769942284E-3,-4.567050934E-2
2.745809486E0,-2.986431122E-3,-1.176610589E-2,-4.938793182E-2
2.755880287E0,1.060426235E-2,1.420831680E-2,-1.041984558E-2
2.765951088E0,2.644741535E-2,6.605786085E-2,2.305698395E-2
2.776021889E0,2.565968037E-2,9.393066168E-2,3.225803375E-2
2.786092690E0,2.238535881E-2,7.234573364E-2,3.427696228E-2
2.796163490E0,3.083193302E-2,4.432860017E-2,3.628158569E-2
2.806264809E0,2.495861053E-2,-4.395782948E-3,1.939582825E-2
2.816335610E0,3.131437302E-2,-5.208218098E-2,4.294490814E-2
2.826406410E0,3.566610813E-2,-6.880584359E-2,7.547855377E-2
2.836477211E0,5.403518677E-3,-6.695759296E-2,6.230258942E-2
2.846548012E0,1.872839928E-1,-1.656690836E-1,-3.318252563E-1
2.856618813E0,2.965807915E-3,-1.753403544E-1,1.252374649E-1
2.866689613E0,-7.954835892E-2,-1.101070940E-1,1.800937653E-1
2.876790932E0,6.918275356E-2,5.856648088E-3,2.398939133E-1
2.886861733E0,2.855825424E-2,-1.103873551E-2,3.956089020E-1
2.896932533E0,3.829002380E-3,-5.889233947E-2,2.641582489E-2
2.907003334E0,5.209672451E-2,9.363919497E-3,-3.426303864E-1
2.917074135E0,2.710449696E-2,2.105787396E-2,-1.573152542E-1
2.927144936E0,-5.080938339E-3,-6.546896696E-2,1.431465149E-1
2.937215736E0,3.640329838E-2,-1.199433953E-1,2.469797134E-1
2.947317055E0,4.309511185E-2,-1.625209749E-1,1.594533920E-1
2.957387856E0,2.698159218E-2,-1.539097726E-1,-5.191326141E-2
2.967458656E0,2.386045456E-2,-6.583966315E-2,-1.646842957E-1
2.977529457E0,1.810097694E-2,7.198959589E-3,-8.877849579E-2
2.987600258E0,-6.423830986E-3,2.998259664E-2,3.526782990E-2
2.997671059E0,9.539365768E-3,4.540668428E-2,5.790424347E-2
3.007741860E0,-3.311991692E-3,3.731602430E-2,-1.431846619E-2
3.017843178E0,5.389809608E-3,2.727384865E-2,-6.397914886E-2
3.027913979E0,8.869171143E-3,3.193408251E-3,-7.488727570E-2
3.037984779E0,2.177548409E-2,-1.131829619E-2,-2.660083771E-2
3.048055580E0,2.765774727E-2,-1.881721616E-2,2.317905426E-2
3.058126381E0,4.312562943E-2,-3.842097521E-2,2.955055237E-2
3.068197182E0,5.132067204E-2,-4.863499105E-2,7.435798645E-3
3.078267983E0,2.179706097E-2,-2.793455124E-2,-2.372741699E-2
3.088369301E0,-7.134795189E-3,-1.919409633E-2,-2.371597290E-2
3.098440102E0,-4.095399380E-2,-8.313596249E-3,-2.592182159E-2
3.108510903E0,-5.112016201E-2,4.844665527E-4,-3.276538849E-2
3.118581703E0,-4.724824429E-2,-7.407516241E-3,-3.707408905E-2
3.128652504E0,-3.909003735E-2,-8.020669222E-3,-3.655052185E-2
3.138723305E0,-3.601670265E-2,-1.351349056E-2,-2.650928497E-2
3.148794106E0,-1.641857624E-2,-2.368481457E-2,-4.810333252E-3
3.158895424E0,1.006519794E-2,-1.959219575E-2,2.120971680E-2
3.168966225E0,2.229583263E-2,-1.132267714E-2,3.731155396E-2
3.179037026E0,1.565277576E-2,3.951013088E-3,1.172275543E-1
3.189107826E0,1.422619820E-2,3.540745378E-2,7.017898560E-2
3.199178627E0,1.311993599E-2,4.034583271E-2,3.563499451E-2
3.209249428E0,1.202940941E-2,4.056409001E-2,-6.380081177E-4
3.219320229E0,-3.090739250E-3,4.575079679E-2,-4.116249084E-2
3.229421547E0,-8.548498154E-3,3.684931993E-2,-7.621097565E-2
3.239492348E0,-1.862287521E-3,3.747214377E-2,-7.991790771E-2
3.249563149E0,1.179087162E-2,1.468147337E-2,-6.230640411E-2
3.259633949E0,8.504152298E-3,-5.277648568E-3,-1.895809174E-2
3.269704750E0,2.658677101E-2,-3.221566975E-2,1.176929474E-2
3.279775551E0,2.782857418E-2,-4.236465693E-2,1.740455627E-3
3.289876869E0,3.600871563E-2,-4.303266108E-2,6.239891052E-3
